Restaurant Name,City,Comment,Cuisine Type,Price,Rating,URL,Visited
"Donmai, Bandra",Mumbai,"Japanese authentic, classy",Japanese,,,https://www.instagram.com/share/reel/BAPkD2blIe,No
Cecconi’s,Mumbai,Northern Italian food,Italian,,,https://www.instagram.com/share/reel/_48vKm5gH,No
"Donna Deli, Bandra",Mumbai,,Italian,,,https://www.instagram.com/donnadelibombay?igsh=MTB3OW5nMHoxeHpxbA==,No
My Oh my bombay,Mumbai,"Aesthetic, brunch place","Cafe, European, Indian",,,https://www.instagram.com/share/reel/BA_xypErCf,No
"Tamari, Bombay",Mumbai,Ramen and honey toast,Japanese,,,https://www.instagram.com/share/reel/_tRObZ2OL,No
Paradox,Mumbai,"Cocktail Bar, by Masque",,,,https://www.instagram.com/share/reel/BAdvja7G9j,Yes
"Takumi, Santacruz",Mumbai,,Asian,,,,No
Origami,Mumbai,,Japanese,,,,No
Vietnom,Mumbai,"Good fried chicken and flat noodles, decent cocktails and ambience ",Vietnamese,$$$,⭐⭐⭐,,Yes
Farro,Pune,"Inspired by grain farro, great food brilliant concept, fine dine, 30 layer truffle latke, textures of corn, Pashtoni kabab were amazing, lamb was mid, great cocktails","Indian, Mediterranean",$$$,⭐⭐⭐⭐⭐,,Yes
Oi Brewhouse,Pune,"V good vibe, like toit, good beer and drinks, good was also great, fun vibe with screening and lively, good desserts",Bar,$$,⭐⭐⭐,,Yes
"The Royal China, Bandra",Mumbai,,Chinese,$$$$,,,No
"O Pedro, Bandra",Mumbai,"Great cocktails and amazing food, the ceviche was mid, but prawns balchao and poee, and the fish curry and brown rice was great, chocolate mousse was an amazing dessert","Bar, Fusion, Indian",$$$,⭐⭐⭐⭐⭐,,Yes
"Boojee Cafe, Bandra",Mumbai,"Great Breakfast place - French omlette, Scrambled eggs, and french toast is amazing, coffee is great too, good options in cakes","American, Bakery, Cafe, European",$$$,⭐⭐⭐⭐,,Yes
"Comorin, Lower Parel",Mumbai,"An amazing wine selection, great food too, average desserts","Bar, Fusion, Indian",$$$,⭐⭐⭐⭐⭐,,Yes
"Dimsum Room, Kala Ghoda",Mumbai,,"Asian, Chinese",,,https://www.instagram.com/reel/DPRegUNDKZW/?igsh=cWY5ajhpaDZxYThi,No
"Bang, Bandra",Mumbai,,Thai,,,https://www.instagram.com/p/DPGkZwXkgew/?img_index=1&igsh=MTN2bW9kaHkyOXNjcQ==,No
"Gaijin, Bandra",Mumbai,,Japanese,,,https://www.instagram.com/p/DPGkZwXkgew/?img_index=1&igsh=MTN2bW9kaHkyOXNjcQ==,No
"Ode, Worli",Mumbai,,European,$$$,,https://www.instagram.com/ode.dining?igsh=MTV4OTlydzFkM2t3aQ==,No
"Malido, Kala Ghoda",Mumbai,,"Bar, Cafe",$,,https://www.instagram.com/reel/DPg-fihADiM/?igsh=bWlsZ3AydTdkMWR3,No
